Villain,Year first,Year last,Doc. no.,Doctor actor,Epi- sodes,"Stories, total","Motivation (invasion earth, kill humans, etc)",Story titles
Dibber,1986,1986,6,Colin Baker,4,1,Self-interest,The Mysterious Planet
Drathro (L3 robot),1986,1986,6,Colin Baker,4,1,Protect,The Mysterious Planet
"Kiv, Lord",1986,1986,6,Colin Baker,4,1,Make money,Mindwarp
L1 robot,1986,1986,6,Colin Baker ,4,1,Capture the Doctor,The Mysterious Planet
Rudge,1986,1986,6,Colin Baker,4,1,Serve big bad,Terror of the Vervoids
Vervoids ,1986,1986,6,Colin Baker,4,1,Kill humans,Terror of the Vervoids
Gravis,1984,1984,5,Peter Davison,4,1,Kill Humans,Frontios
Icthar,1984,1984,5,Peter Davison,4,1,Power,Warriors of the Deep
Myrka (the),1984,1984,5,Peter Davison,4,1,Serve big bad,Warriors of the Deep
Nilson,1984,1984,5,Peter Davison,4,1,Serve big bad,Warriors of the Deep
"Solow, Dr",1984,1984,5,Peter Davison,4,1,Serve big bad,Warriors of the Deep
Timanor,1984,1984,5,Peter Davison,4,1,Power,Planet of Fire 
Tractator,1984,1984,5,Peter Davison,4,1,Invade,Frontios
Gastropods,1984,1984,6,Colin Baker,4,1,Serve big bad, The Twin Dilemma
Mestor,1984,1984,6,Colin Baker,4,1,Dominate the universe,The Twin Dilema
Stotz,1984,1984,"1,5,6","William Hartnell, Peter Davison, Colin Baker",4,1,Make money,The Caves of Androzani
"Jek, Sharaz",1984,1984,"5,6","Peter Davison, Colin Baker",4,1,Hates Morgus,The Caves of Androzani
Jek's androids,1984,1984,"5,6","Peter Davison, Colin Baker",4,1,Serve big bad,The Caves of Androzani
"Morgus, Trau",1984,1984,"5,6","Peter Davison, Colin Baker",4,1,Make money,The Caves of Androzani
Ergon (the),1983,1983,5,Peter Davison,4,1,Serve big bad,Arc of Infinity
Eternals,1983,1983,5,Peter Davison,4,1,"Amusement, universal control",Enlightenment
"Hedin, Councillor",1983,1983,5,Peter Davison,4,1,Viral infection,Arc of Infinity
Mansell,1983,1983,5,Peter Davison,4,1,Competing for enlightment,Enlightenment
Mawdryn,1983,1983,5,Peter Davison,4,1,Kill humans,Mawdryn Undead
Wrack,1983,1983,5,Peter Davison,4,1,Compete for enlightenment,Enlightenment
Cyberman Android,1982,1982,5,Peter Davison,4,1,Destroy the world,Earthshock
Hindle,1982,1982,5,Peter Davison,4,1,Serve big bad,Kinda
Minister (of Enlightment/Persuasion),1982,1982,5,Peter Davison,4,1,Serve big bad,Four to Doomsday
Monarch,1982,1982,5,Peter Davison,4,1,"Power, money",Four to Doomsday
Monarch's androids,1982,1982,5,Peter Davison,4,1,Serve big bad,Four to Doomsday
Plasmatons,1982,1982,5,Peter Davison,4,1,Serve big bad,Time-Flight
Terileptil's android,1982,1982,5,Peter Davison,4,1,Serve big bad,The Visitation
Terileptils,1982,1982,5,Peter Davison,4,1,Kill the Doctor,The Visitation
Aukon (one of Three who rule),1980,1980,4,Tom Baker,4,1,"Drink blood, control humans",State of Decay
Camilla (one of Three who rule),1980,1980,4,Tom Baker,4,1,"Drink blood, control humans",State of Decay
Foamasi,1980,1980,4,Tom Baker,4,1,Kill humans,The Leisure Hive
Great Vampire,1980,1980,4,Tom Baker,4,1,Absorb planets,State of Decay
Grugger,1980,1980,4,Tom Baker,4,1,Serve big bad,Meglos
Marshmen,1980,1980,4,Tom Baker,4,1,Defeat the Doctor,Full Circle
Meglos,1980,1980,4,Tom Baker,4,1,Kill the Doctor,Meglos
"Nimon, The",1979,1980,4,Tom Baker,4,1,Continue the Great Journey of life,The Horns of Nimon
Pangol,1980,1980,4,Tom Baker,4,1,Conquest,The Leisure Hive
Rorvik,1980,1980,4,Tom Baker,4,1,Slave Trader,Warriors' Gate
"Soldeed, The",1979,1980,4,Tom Baker,4,1,Rebuild the Skonnan Empire,The Horns of Nimon
Three Who Rule,1980,1980,4,Tom Baker,4,1,Kill creatures/control humans,State of Decay
Zargo (one of Three who rule),1980,1980,4,Tom Baker,4,1,"Drink blood, control humans",State of Decay
"Adrasta, Lady",1979,1979,4,Tom Baker,4,1,Mineral wealth,The Creature from the Pit
Dymond,1979,1979,4,Tom Baker,4,1,Crime,Nightmare of Eden
Kroll,1978,1979,4,Tom Baker,4,1,Indiscriminate destruction,The Power of Kroll
Mandrels,1979,1979,4,Tom Baker,4,1,Kill everything,Nightmare of Eden
Movellans,1979,1979,4,Tom Baker,4,1,War with Daleks,Destiny of the Daleks
Scaroth,1979,1979,4,Tom Baker,4,1,Steal the Mona Lisa to finance experiments,City of Death
Sharrel,1979,1979,4,Tom Baker,4,1,Destroy,Destiny of the Daleks
Thawn,1978,1979,4,Tom Baker,4,1,Power,The Power of Kroll
Tryst,1979,1979,4,Tom Baker,4,1,Make money,Nightmare of Eden
Wolfweeds,1979,1979,4,Tom Baker,4,1,Serve big bad,The Creature from the Pit
Captain (the),1978,1978,4,Tom Baker,4,1,Make money,The Pirate Planet
Cessair of Diplos (The Cailleach/Morgana Montcalm/Senora Camara/Vivien Fay),1978,1978,4,Tom Baker,4,1,Murder/theft,The Stones of Blood
"Grendel, Count",1978,1978,4,Tom Baker,4,1,To posess a key,The Androids of Tara
Ogri,1978,1978,4,Tom Baker,4,1,Protect,The Stones of Blood
Oracle (the),1978,1978,4,Tom Baker,4,1,Control of alien species,Underworld
Seers,1978,1978,4,Tom Baker,4,1,Serve big bad,Underworld
Taran androids,1978,1978,4,Tom Baker,4,1,Serve big bad,The Androids of Tara
"Vynda-K, Graff",1978,1978,4,Tom Baker,4,1,Make money,The Ribos Operation
"Xanxia, Queen",1978,1978,4,Tom Baker,4,1,Make money,The Pirate Planet
"Capel, Taren",1977,1977,4,Tom Baker,4,1,Kill humans,The Robots of Death
Collector (the),1977,1977,4,Tom Baker,4,1,Human dictatorship/enslavement,The Sun Makers
Fendahl (inc Fendahleen),1977,1977,4,Tom Baker,4,1,Devour life,Image of the Fendahl
Horda,1977,1977,4,Tom Baker,4,1,Kill everything,The Face of Evil
Nucleus,1977,1977,4,Tom Baker,4,1,"Disease, infection",The Invisible Enemy
Rutans,1977,1977,4,Tom Baker,4,1,War,Horror of Fang Rock
"Stael, Maximillion",1977,1977,4,Tom Baker,4,1,Serve big bad,Image of the Fendahl
Super Voc SV7 robot,1977,1977,4,Tom Baker,4,1,Serve big bad,The Robots of Death
VOC robot,1977,1977,4,Tom Baker,4,1,Serve big bad,The Robots of Death
Xoanon,1977,1977,4,Tom Baker,4,1,Enslavement,The Face of Evil
Eldrad,1976,1976,4,Tom Baker,4,1,Control of own alien species,The Hand of Fear
"Federico, Count",1976,1976,4,Tom Baker,4,1,Power/ serve big bad,The Masque of Mandragora
Hieronymous,1976,1976,4,Tom Baker,4,1,Power/ serve big bad,The Masque of Mandragora
Mandragora Helix,1976,1976,4,Tom Baker,4,1,World domination,The Masque of Mandragora
Mehendri Solon,1976,1976,4,Tom Baker,4,1,Kill the Doctor,The Brain of Morbius
Morbius,1976,1976,4,Tom Baker,4,1,Universal control,The Brain of Morbius
"Solon, Dr Mehendri",1976,1976,4,Tom Baker,4,1,Medical experiments,The Brain of Morbius
Anti-matter monster,1975,1975,4,Tom Baker,4,1,Energy,Planet of Evil
Broton,1975,1975,4,Tom Baker ,4,1,Power,Terror of the Zygons
K1 Robot (Giant Robot),1974,1975,4,Tom Baker,4,1,Mindless destruction,Robot
Kellman,1975,1975,4,Tom Baker,4,1,Serve big bad,Revenge of the Cybermen
Kraal ,1975,1975,4,Tom Baker,4,1,Kill humans,The Android Invasion
Kraal androids,1975,1975,4,Tom Baker,4,1,Serve big bad,The Android Invasion
Loch Ness Monster (Skarasen),1975,1975,4,Tom Baker,4,1,Serve big bad,Terror of the Zygons
Mummies (Osirian service robots),1975,1975,4,Tom Baker,4,1,Serve big bad, Pyramids of Mars
"Scarman, Marcus",1975,1975,4,Tom Baker,4,1,Serve big bad,Pyramids of Mars
"Styggron, Chief scientist",1975,1975,4,Tom Baker,4,1,Medical experiments,The Android Invasion
Sutekh,1975,1975,4,Tom Baker,4,1,Destroy all life,Pyramids of Mars
"Winters, Miss",1974,1975,4,Tom Baker,4,1,Blackmail,Robot
Wirrn/Wirrrn ,1975,1975,4,Tom Baker,4,1,World domination,The Ark in Space
Irongron,1973,1974,3,Jon Pertwee,4,1,"Crime, serve big bad", The Time Warrior
Drashigs,1973,1973,3,Jon Pertwee,4,1,Kill everything,Carnival of Monsters
Kalik,1973,1973,3,Jon Pertwee,4,1,Power,Carnival of Monsters
Anti-Matter Organism ,1972,1973,"1,2,3","William Hartnell, Patrick Troughton, Jon Pertwee",4,1,Serve big bad,The Three Doctors
Gell guards ,1972,1973,"1,2,3","William Hartnell, Patrick Troughton, Jon Pertwee",4,1,Serve big bad,The Three Doctors
Arcturus,1972,1972,3,Jon Pertwee,4,1,Control of planet,The Curse of Peladon
Hepesh,1972,1972,3,Jon Pertwee,4,1,Universal control,The Curse of Peladon
Axons,1971,1971,3,Jon Pertwee,4,1,Earth invasion/Human extermination,The Claws of Axos
"Stahlman, Professor",1970,1970,3,Jon Pertwee,4,1,World domination,Inferno
Krotons,1969,1969,2,Patrick Troughton,4,1,Enslavement,The Krotons
"Grey, Solicitor",1966,1967,2,Patrick Troughton,4,1,Serve big bad,The Highlanders
Kaftan,1967,1967,2,Patrick Troughton,4,1,Power,Tomb of the Cybermen
"Klieg, Eric",1967,1967,2,Patrick Troughton,4,1,Power,Tomb of the Cybermen
Trask (The Highlanders),1966,1967,2,Patrick Troughton,4,1,Smuggle weapons,The Highlanders
"Zaroff, Professor",1967,1967,2,Patrick Troughton,4,1,Destroy the World,The Underwater Menace
Celestial Toymaker,1966,1966,1,William Hartnell,4,1,Kill/ enslave humans,Celestial Toymaker
Elders (the),1966,1966,1,William Hartnell,4,1,Self interest,The Savages
Monoid,1966,1966,1,William Hartnell,4,1,Power,The Ark
"Pike, Samuel ",1966,1966,1,William Hartnell,4,1,Find Treasure,The Smugglers
WOTAN,1966,1966,1,William Hartnell,4,1,World domination,The War Machines
Drahvin,1965,1965,1,William Hartnell,4,1,War,Galaxy 4
Maaga,1965,1965,1,William Hartnell ,4,1,escape doomed planet,Galaxy 4
"Moroks, (the)",1965,1965,1,William Hartnell,4,1,Power,The Space Museum
Tlotoxl,1964,1964,1,William Hartnell,4,1,Religion,The Aztecs
Kal,1963,1963,1,William Hartnell,4,1,Power,An Unearthy Child
Za,1963,1963,1,William Hartnell,4,1,Power,An Unearthy Child
Azal,1971,1971,3,Jon Pertwee,5,1,Kill humans,The Dæmons
Bok,1971,1971,3,Jon Pertwee,5,1,Assist Azal,The Dæmons
Dominators,1968,1968,2,Patrick Troughton,5,1,Turn Planet into fuel,The Dominators
Master of the Land of Fiction,1968,1968,2,Patrick Troughton,5,1,Trick the Doctor,The Mind Robber
Quarks,1968,1968,2,Patrick Troughton,5,1,Enslavement,The Dominators
Rago Navigator,1968,1968,2,Patrick Troughton,5,1,Conserve energy,The Dominators
White Robot,1968,1968,2,Patrick Troughton,5,1,Serve big bad ,The Mind Robber 
Marshal of Atrios,1979,1979,4,Tom Baker ,6,1,Power,The Armageddon Factor
Shadow (the),1979,1979,4,Tom Baker,6,1,War,The Armageddon Factor
Skagra,1979,1979,4,Tom Baker,6,1,Universe domination,Shada
Vardan,1978,1978,4,Tom Baker,6,1,Time travelling,The Invasion of Time
"Chang, Li H'sen",1977,1977,4,Tom Baker,6,1,Serve big bad,Talons of Weng Chiang
"Greel, Magnus",1977,1977,4,Tom Baker,6,1,Immortality/return to his time,The Talons of Weng-Chiang
Peking Homunculus (Mr Sin),1977,1977,4,Tom Baker,6,1,Kill humans,Talons of Weng Chiang
Sin (Mr),1977,1977,4,Tom Baker,6,1,Kill humans,The Talons of Weng-Chiang
"Chase, Harrison",1976,1976,4,Tom Baker,6,1,Kill humans,The Seeds of Doom
Krynoids,1976,1976,4,Tom Baker,6,1,World domination,Seeds of Doom
Scorby ,1976,1976,4,Tom Baker,6,1,Flee England,The seeds of Doom
Nyder,1975,1975,4,Tom Baker,6,1,Serve big bad,Genesis of the Daleks
Azaxyr,1974,1974,3,Jon Pertwee,6,1,Power,The Monster of Peladon
Eckersley,1974,1974,3,Jon Pertwee,6,1,World domination,The Monster of Peladon
Eight legs,1974,1974,3,Jon Pertwee,6,1,Serve big bad,Planet of the Spiders
Great One (Giant Spiders of Metebelis III),1974,1974,3,Jon Pertwee,6,1,Universe domination,Planet of the Spiders
"Grover, Charles",1974,1974,3,Jon Pertwee,6,1,Power,Invasion of the Dinosaurs
Lupton,1974,1974,3,Jon Pertwee,6,1,Serve big bad,Planet of the Spiders
Sskel,1974,1974,3,Jon Pertwee,6,1,Power,The Monster of Peladon
Whitaker,1974,1974,3,Jon Pertwee,6,1,Possess time travel,Invasion of the Dinosaurs
BOSS,1973,1973,3,Jon Pertwee,6,1,Brainwashing,The Green Death
Maggot/Giant Maggot,1973,1973,3,Jon Pertwee,6,1,Kill humans,The Green Death
Chief Sea Devil,1972,1972,3,Jon Pertwee,6,1,Destroy the human race,The Sea Devils     
Kronos,1972,1972,3,Jon Pertwee,6,1,Serve big bad,The Time Monster
Marshal of Solos (the) ,1972,1972,3,Jon Pertwee,6,1,Career,The Mutants
Dent,1971,1971,3,Jon Pertwee,6,1,Make money,Colony in Space
Keller Machine,1971,1971,3,Jon Pertwee,6,1,Control Humans,The mind of Evil
"Mailer, Harry ",1971,1971,3,Jon Pertwee,6,1,Power,The mind of Evil
"Caven, Maurice",1969,1969,2,Patrick Troughton,6,1,Invade another alien planet,The Space Pitrates
Benik,1967,1968,2,Patrick Troughton,6,1,Serve Big Bad,The Enemy of the World
"Oak, Mr",1968,1968,2,Patrick Troughton,6,1,Serve big bad,Fury from the Deep
"Quill, Mr",1968,1968,2,Patrick Troughton,6,1,Serve big bad,Fury from the Deep
Salamander,1967,1968,2,Patrick Troughton,6,1,Wants to control an organisation,The Enemy of the World
Seaweed Creature (Weed creature),1968,1968,2,Patrick Troughton,6,1,World domination,Fury from the Deep
Chameleons,1967,1967,2,Patrick Troughton,6,1,"New home world, absorbing human identities",The Faceless Ones
Varga,1967,1967,2,Patrick Troughton,6,1,World domination,The Ice Warriors
Bragen,1966,1966,2,Patrick Troughton,6,1,Serve big bad,The Power of the Daleks
Animus,1965,1965,1,William Hartnell,6,1,Control Humans,The Web Planet
Aridians,1965,1965,1,William Hartnell,6,1,Self interest,The Chase
"Dracula, Robot Count",1965,1965,1,William Hartnell,6,1,Serve big bad,The Chase
Frankenstein's monster robot,1965,1965,1,William Hartnell,6,1,Serve big bad,The Chase
Grey Lady robot,1965,1965,1,William Hartnell,6,1,Serve big bad,The Chase
Gubbage Cone ,1965,1965,1,William Hartnell,6,1,Attack the Doctor,The Chase
Robot Dr Who,1965,1965,1,William Hartnell,6,1,Kill Doctor and companions,The Chase
Zarbi,1965,1965,1,William Hartnell,6,1,"Forage, possessed",The Web Planet
Aydan,1964,1964,1,William Hartnell,6,1,Save alien planet,The Keys of Marinus
Eyesen,1964,1964,1,William Hartnell,6,1,Self-interest,The Keys of Marinus
Kala,1964,1964,1,William Hartnell,6,1,Save alien planet ,The Keys of Marinus
Morpho,1964,1964,1,William Hartnell,6,1,Save alien planet,The Keys of Marinus
Robomen,1964,1964,1,Wiliam Hartnell,6,1,Serve big bad,The Dalek Invasion of Earth
Screaming Jungle (The),1964,1964,1,William Hartnell,6,1,Save alien planet,The Keys of Marinus
Sensorites,1964,1964,1,William Hartnell,6,1,Fear,The Sensorites
Slyther,1964,1964,1,Wiliam Hartnell,6,1,Serve big bad,The Dalek Invasion of Earth
Vasor,1964,1964,1,William Hartnell,6,1,Save alien planet,The Keys of Marinus
Voord,1964,1964,1,William Hartnell,6,1,Wants to control a Planet,The Keys of Marinus
Yartek,1964,1964,1,William Hartnell,6,1,Serve big Bad,The Keys of Marinus
Azlok,2009,2009,10,David Tennant,7,1,Invading Earth,Dreamland
Skorpius Flies,2009,2009,10,David Tennant,7,1,Self interest (food),Dreamland
"Stark, Colonel",2009,2009,10,David Tennant,7,1,"Power, Kill humans",Dreamland
Viperox,2009,2009,10,David Tennant,7,1,Hunt/invade,Dreamland
"Elizabeth Shaw, Section Leader (alt universe)",1970,1970,3,Jon Pertwee,7,1,Fascist stooge,Inferno
"Lethbridge-Stewart, Brigade Leader (alt universe)",1970,1970,3,Jon Pertwee,7,1,Fascist stooge,Inferno
Morka,1970,1970,3,Jon Pertwee,7,1,World domination,Doctor Who and the Silurians    
Primord,1970,1970,3,Jon Pertwee,7,1,Control Humans,Inferno
"Carrington, General",1970,1970,7,Jon Pertwee,7,1,War,The Ambassadors of Death
"Quinlan, Sir James",1970,1970,7,Jon Pertwee,7,1,Serve big bad,The Ambassadors of Death
Reegan,1970,1970,7,Jon Pertwee,7,1,Crime,The Ambassadors of Death
"Taltalian, Bruno",1970,1970,7,Jon Pertwee,7,1,Serve big bad,The Ambassadors of Death
"Maxtible, Theodore",1967,1967,2,Patrick Troughton,7,1,Serve big bad,Evil of the Daleks
Mongol Bandit ,1964,1964,1,William Hartnell ,7,1,Serve big bad ,Marco Polo
Tegana,1964,1964,1,William Hartnell,7,1,Kill the Doctor,Marco Polo
"Vaughn, Tobias",1968,1968,2,Patrick Troughton,8,1,Kill the Doctor,The Invasion
Alliance of Shades (Mister Dread),2009,2009,10,David Tennant,9,1,Hide alien activities,Dreamland
War Chief,1969,1969,2,Patrick Troughton,10,1,Kidnapp,The War Games
War Lord,1969,1969,2,Patrick Troughton,10,1,Kidnapp,The War Games
Mavic Chen,1965,1966,1,William Hartnell,12,1,Kill humans,The Daleks' Master Plan
Baltazar,2007,2007,10,David Tennant,13,1,Kill life on earth/make money,The Infinite Quest 
Caw ,2007,2007,10,David Tennant,13,1,Gold,The Infinite Quest 
"Gurney, Constantine Ethelred",2007,2007,10,David Tennant,13,1,"Larceny, blackmail and fraud",The Infinite Quest 
Lok,2007,2007,10,David Tennant,13,1,Kill humans,The Infinite Quest 
Mantasphid Queen,2007,2007,10,David Tennant,13,1,Power,The Infinite Quest 
Oil Rig,2007,2007,10,David Tennant,13,1,"Drain oil from planets, make money",The Infinite Quest 
Skeleton Crew ,2007,2007,10,David Tennant,13,1,Self interest,The Infinite Quest 
Squawk,2007,2007,10,David Tennant,13,1,Serve big bad,The Infinite Quest 
Ulysees Meregrass,2007,2007,10,David Tennant ,13,1,Make money,The Infinite Quest
